Id,Ref (haul identifier),Cruise,Station,Event,Netno,Nettype,Net mouthm2,Net mesh(mm),Trajectorycode,Date,Year,Month,Day,GMT time,Local time,Day/night,Latitude (dec degrees),Longitude (dec degrees),Minimumnet depth(m),Maximum net depth (m),Water depth mean within 10km range (m),Water depth range within 10km range (m),Mean climatological temperature within 10 km range,Bin size,Mean length (mm),Total krill in sample,Source,Comments
28,AAMBER95D,AAMBER,95,D,,RMT8,8,4.5,DO,23-Mar-87,1987,3,23,16:42:00,,N,-64.345,87.9733,215,912,-3433,218,0.1,2,39.33,3,Hosie et al (1991) ANARE Research Notes 79,
29,AAMBER96S,AAMBER,96,S,,RMT8,8,4.5,DO,23-Mar-87,1987,3,23,22:30:00,,N,-64.95,87.9833,0,200,-3109,272,-0.35,2,37.61,67,Hosie et al (1991) ANARE Research Notes 79,
30,ACS247,ACS2,,47,,MST,,,DO,25-Jan-85,1985,1,25,19:23:00,,D,-62.686,-54.2502,0,280,-234,186,-0.11,1,42.86,76,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
31,ACS248,ACS2,,48,,MST,,,DO,26-Jan-85,1985,1,26,20:20:00,,D,-61.4838,-55.0435,0,280,-960,1435,1.06,1,43.8,410,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
32,ACS249,ACS2,,49,,MST,,,DO,01-Feb-85,1985,2,1,13:31:00,,D,-62.3183,-58.4966,0,,-833,1565,0.83,1,46.28,304,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
33,ACS250,ACS2,,50,,MST,,,DO,05-Feb-85,1985,2,5,14:45:00,,D,-63.3053,-59.3476,0,150,-645,832,-0.09,1,41.78,241,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
34,ACS251,ACS2,,51,,MST,,,DO,10-Feb-85,1985,2,10,16:00:00,,D,-62.8984,-60.9863,0,110,-219,289,0.88,1,43.96,321,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
35,ACS252,ACS2,,52,,MST,,,DO,11-Feb-85,1985,2,11,18:34:00,,D,-63.1902,-61.7162,0,70,-899,807,0.96,1,41.13,171,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
36,ACS254,ACS2,,54,,MST,,,DO,12-Feb-85,1985,2,12,23:10:00,,D,-63.6449,-61.718,0,65,-843,1380,0.61,1,45.06,210,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
37,ACS255,ACS2,,55,,MST,,,DO,26-Jan-85,1985,1,26,12:30:00,,D,-62.2809,-54.9651,0,60,-488,324,0.39,1,40.97,348,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
38,ACS256,ACS2,,56,,MST,,,DO,09-Feb-85,1985,2,9,21:30:00,,D,-64.0387,-61.3052,0,100,-365,662,0.39,1,42.11,53,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
39,ACS257,ACS2,,57,,MST,,,DO,07-Feb-85,1985,2,7,19:04:00,,D,-63.8888,-60.4512,0,,-318,644,-0.07,1,43.99,274,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
40,ACS263,ACS2,,63,,MST,,,DO,05-Feb-85,1985,2,5,19:54:00,,D,-63.5569,-59.2002,0,,-342,562,-0.58,1,41.68,296,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
41,ACS264,ACS2,,64,,MST,,,DO,06-Feb-85,1985,2,6,12:32:00,,D,-63.083,-60.1567,0,,-831,274,0.33,1,41.12,473,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
42,ACS265,ACS2,,65,,MST,,,DO,10-Feb-85,1985,2,10,11:01:00,,D,-63.7194,-61.5694,0,,-662,989,0.65,1,44.99,165,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
43,ACS266,ACS2,,66,,MST,,,DO,09-Feb-85,1985,2,9,12:01:00,,D,-63.6278,-61.2055,,,-395,711,0.5,1,41.88,404,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
44,ACS267,ACS2,,67,,MST,,,DO,09-Feb-85,1985,2,9,11:38:00,,D,-63.6534,-61.217,,,-394,778,0.51,1,44.46,251,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
45,ACS271,ACS2,,71,,MST,,,DO,07-Feb-85,1985,2,7,15:19:00,,D,-63.6969,-60.4735,,,-362,751,-0.14,1,43.7,300,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
46,ACS272,ACS2,,72,,MST,,,DO,26-Jan-85,1985,1,26,16:09:00,,D,-61.9085,-55.0169,,,-1353,1103,0.61,1,44.46,350,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
47,ACS273,ACS2,,73,,MST,,,DO,30-Jan-85,1985,1,30,18:55:00,,D,-62.8502,-57.1669,,,-203,454,-0.42,1,40.33,251,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
48,ADBEX I-11,ADBEX I,,11,,BONGO,0.25,1,HZ,23-Nov-82,1982,11,23,16:30:00,,N,-60.5201,77.4967,0,0,-3252,397,1.25,1,17.74,39,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
49,ADBEX I-12,ADBEX I,,12,,BONGO,0.25,1,OB,25-Nov-82,1982,11,25,17:17:00,,N,-60.3767,63.7501,0,80,-4688,467,1.44,1,14.9,68,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
50,ADBEX I-13,ADBEX I,,13,,RMT8,8,4.5,OB,26-Nov-82,1982,11,26,17:25:00,,N,-63.4983,62.7517,10,100,-4136,167,0.84,1,16.94,33,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
51,ADBEX I-25,ADBEX I,,25,,RMT8,8,4.5,HZ,04-Dec-82,1982,12,4,17:24:00,,D,-66.8067,70.205,30,30,-991,1340,-0.4,1,31.82,28,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
52,ADBEX I-27,ADBEX I,,27,,RMT8,8,4.5,HZ,05-Dec-82,1982,12,5,16:08:00,,D,-66.7617,73.0717,14,14,-620,611,-0.05,1,35.61,192,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
53,ADBEX I-3,ADBEX I,,3,,IYGPT,2.24,10,HZ,19-Nov-82,1982,11,19,20:08:00,,N,-61.3733,89.9883,20,20,-4123,79,1.47,1,19.01,168,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
54,ADBEX I-33,ADBEX I,,33,,RMT8,8,4.5,OB,10-Dec-82,1982,12,10,03:26:00,,D,-67.2817,73.0683,22,45,-552,50,-0.16,1,35.51,237,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
55,ADBEX I-34,ADBEX I,,34,,RMT8,8,4.5,HZ,10-Dec-82,1982,12,10,08:30:00,,D,-67.1717,72.4867,105,105,-556,56,-0.2,1,37.82,311,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
56,ADBEX I-36,ADBEX I,,36,,RMT8,8,4.5,HZ,11-Dec-82,1982,12,11,03:32:00,,D,-66.4701,73.6401,21,21,-2084,545,0.05,1,35.23,56,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
57,ADBEX I-37,ADBEX I,,37,,RMT8,8,4.5,OB,11-Dec-82,1982,12,11,09:16:00,,D,-66.7201,73.9951,30,50,-1720,894,-0.04,1,42.15,181,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
58,ADBEX I-38,ADBEX I,,38,,RMT8,8,4.5,HZ,11-Dec-82,1982,12,11,15:48:00,,D,-66.9633,74.1933,21,21,-509,656,-0.11,1,36.85,253,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
59,ADBEX I-42,ADBEX I,,42,,RMT8,8,4.5,HZ,13-Dec-82,1982,12,13,09:31:00,,D,-68.5601,77.0251,20,20,-715,234,-0.92,1,26.22,41,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
60,ADBEX I-43,ADBEX I,,43,,RMT8,8,4.5,HZ,13-Dec-82,1982,12,13,14:28:00,,D,-67.935,76.9633,45,45,-437,101,-0.68,1,28.44,43,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
61,ADBEX I-46,ADBEX I,,46,,RMT8,8,4.5,HZ,14-Dec-82,1982,12,14,03:32:00,,D,-67.5567,78.2517,88,88,-268,226,-1.02,1,33.65,237,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
62,ADBEX I-49,ADBEX I,,49,,RMT8,8,4.5,HZ,14-Dec-82,1982,12,14,19:31:00,,D,-67.5201,74.9651,15,15,-440,59,-0.26,1,34.98,202,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
63,ADBEX I-51,ADBEX I,,51,,RMT8,8,4.5,HZ,14-Dec-82,1982,12,14,23:15:00,,D,-67.5267,74.8933,16,16,-447,57,-0.25,1,36.48,204,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
64,ADBEX I-54,ADBEX I,,54,,RMT8,8,4.5,HZ,15-Dec-82,1982,12,15,06:44:00,,D,-67.5567,74.8333,15,15,-454,55,-0.23,1,33.18,187,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
65,ADBEX I-57,ADBEX I,,57,,RMT8,8,4.5,HZ,15-Dec-82,1982,12,15,11:56:00,,D,-67.5533,74.7483,14,14,-462,51,-0.22,1,31.81,280,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
66,ADBEX I-59,ADBEX I,,59,,RMT8,8,4.5,HZ,15-Dec-82,1982,12,15,12:57:00,,D,-67.585,74.7067,90,90,-469,48,-0.21,1,32.79,28,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
67,ADBEX I-60,ADBEX I,,60,,RMT8,8,4.5,HZ,15-Dec-82,1982,12,15,17:57:00,,D,-67.5517,74.6667,14,14,-469,57,-0.2,1,40.4,218,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
68,ADBEX I-62,ADBEX I,,62,,RMT8,8,4.5,HZ,15-Dec-82,1982,12,15,19:15:00,,D,-67.5583,74.6583,90,90,-471,54,-0.2,1,37.6,60,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
69,ADBEX I-63,ADBEX I,,63,,IYGPT,2.24,10,HZ,15-Dec-82,1982,12,15,20:17:00,,D,-67.5583,74.6733,20,20,-469,57,-0.2,1,41.35,189,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
70,ADBEX I-66,ADBEX I,,66,,BONGO,0.25,1,OB,16-Dec-82,1982,12,16,15:23:00,,D,-66.7733,74.6883,0,200,-1841,682,-0.12,1,16.37,30,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
71,ADBEX I-7,ADBEX I,,7,,BONGO,0.25,1,HZ,22-Nov-82,1982,11,22,07:17:00,,D,-63.065,84.7201,0,0,-2856,450,0.92,1,13.06,18,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
72,ADBEX I-72,ADBEX I,,72,,BONGO,0.25,1,OB,18-Dec-82,1982,12,18,00:55:00,,D,-63.9867,71.5233,0,100,-3533,115,0.88,1,38.86,29,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
73,ADBEX I-73,ADBEX I,,73,,RMT8,8,4.5,HZ,18-Dec-82,1982,12,18,02:03:00,,D,-64.0101,71.4883,75,75,-3525,124,0.86,1,39.83,217,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
74,ADBEX I-76,ADBEX I,,76,,BONGO,0.25,1,OB,18-Dec-82,1982,12,18,15:46:00,,D,-62.005,71.7101,0,100,-4084,106,1.11,1,20.91,179,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
75,ADBEX I-77,ADBEX I,,77,,RMT8,8,4.5,HZ,18-Dec-82,1982,12,18,16:16:00,,D,-62.0233,71.7201,18,18,-4076,99,1.11,1,16.79,117,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
76,ADBEX I-78,ADBEX I,,78,,RMT8,8,4.5,HZ,19-Dec-82,1982,12,19,01:51:00,,D,-61.0101,74.9583,25,25,-3608,531,1.2,1,20.08,37,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
77,ADBEX I-8,ADBEX I,,8,,RMT8,8,4.5,HZ,22-Nov-82,1982,11,22,09:26:00,,D,-62.9483,84.6983,12,12,-2791,227,0.93,1,20.56,208,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
78,ADBEX I-80,ADBEX I,,80,,BONGO,0.25,1,OB,19-Dec-82,1982,12,19,08:15:00,,D,-59.9967,74.9133,0,100,-2124,367,1.31,1,24.07,274,"Williams, R. et al (1986) ADBEX I cruise zooplankton data. ANARE Research Notes 31",
79,ADBEX III,ADBEX III,43,,,HAND NET,,,,09-Nov-85,1985,11,9,,,,-65.9267,49.8783,0,5,-1680,1610,-0.99,1,35.19,167,Hosie et al (1987) ANARE Research Notes 57,average across 6 dives
80,AFS214,AFS2,,14,,MST,,,DO,05-Mar-85,1985,3,5,12:25:00,,D,-65.5777,52.7126,0,35,-706,1198,-0.44,1,43.19,277,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
81,AFS215,AFS2,,15,,MST,,,DO,07-Mar-85,1985,3,7,20:00:00,,N,-65.4446,60.8484,0,28,-3853,75,0.26,1,50.4,262,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
82,AFS216,AFS2,,16,,MST,,,DO,07-Mar-85,1985,3,7,20:30:00,,N,-65.6438,61.239,0,74,-3704,174,0.11,1,44.7,253,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
83,AFS217,AFS2,,17,,MST,,,DO,07-Mar-85,1985,3,7,13:20:00,,D,-66.178,61.6492,0,25,-2878,577,-0.07,1,49.52,254,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
84,AFS218,AFS2,,18,,MST,,,DO,07-Mar-85,1985,3,7,15:52:00,,N,-66.3783,61.9765,0,55,-2126,1464,-0.3,1,48.76,269,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
85,AFS220,AFS2,,20,,MST,,,DO,08-Mar-85,1985,3,8,14:35:00,,D,-66.4783,62.7131,0,33,-2316,1000,-0.34,1,46,257,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
86,AMERIEZGL11,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,07-Mar-86,1986,3,7,05:37:00,,,-65.9667,-50.2334,30,60,-3394,137,-1.37,1,26.5,2,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
87,AMERIEZGL111,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,12-Mar-86,1986,3,12,09:33:00,,,-65.5921,-48.2366,0,42,-3986,142,-1.07,1,19,1,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
88,AMERIEZGL12,AMERIEZGL,,,2,PLUMMET,0.785,1.6,V,07-Mar-86,1986,3,7,06:14:00,,,-65.9667,-50.2334,100,200,-3394,137,-1.37,1,41,1,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
89,AMERIEZGL121,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,13-Mar-86,1986,3,13,10:43:00,,,-65.7486,-48.1296,30,98,-4019,94,-1.13,1,21.25,4,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
90,AMERIEZGL131,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,14-Mar-86,1986,3,14,10:02:00,,,-65.8166,-48.7391,0,28,-3851,127,-1.2,1,15.08,60,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
91,AMERIEZGL132,AMERIEZGL,,,2,PLUMMET,0.785,1.6,V,14-Mar-86,1986,3,14,11:56:00,,,-65.8166,-48.7391,30,99,-3851,127,-1.2,1,16,1,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
92,AMERIEZGL141,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,15-Mar-86,1986,3,15,10:28:00,,,-65.8582,-49.2816,0,33,-3667,151,-1.24,1,18.5,2,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
93,AMERIEZGL181,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,19-Mar-86,1986,3,19,09:23:00,,,-65.4026,-49.1452,0,30,-3796,76,-1.1,1,20,1,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
94,AMERIEZGL201,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,21-Mar-86,1986,3,21,09:16:00,,,-65.0322,-50.6629,0,26,-3213,82,-1.22,1,18.67,3,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
95,AMERIEZGL202,AMERIEZGL,,,2,PLUMMET,0.785,1.6,V,21-Mar-86,1986,3,21,20:07:00,,,-65.0322,-50.6629,30,100,-3213,82,-1.22,1,39,1,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
96,AMERIEZGL211,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,22-Mar-86,1986,3,22,12:21:00,,,-64.8952,-51.0012,0,27,-3146,147,-1.19,1,22.83,6,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
97,AMERIEZGL231,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,24-Mar-86,1986,3,24,17:41:00,,,-64.9834,-50.0682,0,29,-3364,193,-1.08,1,20,1,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
98,AMERIEZGL281,AMERIEZGL,,,1,PLUMMET,0.785,1.6,V,26-Mar-86,1986,3,26,22:09:00,,,-64.9666,-50.8719,0,30,-3182,89,-1.2,1,38.49,207,"Old US expedition data (e.g. AMERIEZ, Protea) sent by Kendra Daly",
